timestep,HoeffdingTreeClassifier,GaussianNB,Perceptron
1,0.0,0.0,1.0
2,0.0,0.0,0.5
3,0.0,0.0,0.3333333333333333
4,0.0,0.0,0.25
5,0.2,0.2,0.4
6,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,0.2857142857142857,0.2857142857142857,0.2857142857142857
8,0.25,0.25,0.25
9,0.3333333333333333,0.3333333333333333,0.3333333333333333
10,0.4,0.4,0.3
11,0.45454545454545453,0.45454545454545453,0.36363636363636365
12,0.5,0.5,0.4166666666666667
13,0.5384615384615384,0.5384615384615384,0.46153846153846156
14,0.5714285714285714,0.5714285714285714,0.5
15,0.5333333333333333,0.5333333333333333,0.5333333333333333
16,0.5625,0.5625,0.5625
17,0.5882352941176471,0.5882352941176471,0.5882352941176471
18,0.6111111111111112,0.6111111111111112,0.5555555555555556
19,0.631578947368421,0.631578947368421,0.5789473684210527
20,0.65,0.65,0.6
21,0.6666666666666666,0.6666666666666666,0.6190476190476191
22,0.6818181818181818,0.6818181818181818,0.6363636363636364
23,0.6956521739130435,0.6956521739130435,0.6521739130434783
24,0.7083333333333334,0.7083333333333334,0.6666666666666666
25,0.72,0.72,0.68
26,0.7307692307692307,0.7307692307692307,0.6923076923076923
27,0.7407407407407407,0.7407407407407407,0.7037037037037037
28,0.75,0.75,0.6785714285714286
29,0.7586206896551724,0.7586206896551724,0.6896551724137931
30,0.7666666666666667,0.7666666666666667,0.7
31,0.7419354838709677,0.7419354838709677,0.6774193548387096
32,0.75,0.75,0.6875
33,0.7575757575757576,0.7575757575757576,0.696969696969697
34,0.7647058823529411,0.7647058823529411,0.7058823529411765
35,0.7714285714285715,0.7714285714285715,0.7142857142857143
36,0.75,0.75,0.7222222222222222
37,0.7567567567567568,0.7567567567567568,0.7297297297297297
38,0.7368421052631579,0.7368421052631579,0.7105263157894737
39,0.7435897435897436,0.7435897435897436,0.717948717948718
40,0.75,0.75,0.725
41,0.7560975609756098,0.7560975609756098,0.7317073170731707
42,0.7619047619047619,0.7619047619047619,0.7380952380952381
43,0.7674418604651163,0.7674418604651163,0.7209302325581395
44,0.7727272727272727,0.7727272727272727,0.7045454545454546
45,0.7777777777777778,0.7777777777777778,0.7111111111111111
46,0.782608695652174,0.782608695652174,0.717391304347826
47,0.7872340425531915,0.7872340425531915,0.723404255319149
48,0.7708333333333334,0.7708333333333334,0.7291666666666666
49,0.7755102040816326,0.7755102040816326,0.7346938775510204
50,0.78,0.78,0.74
51,0.7843137254901961,0.7843137254901961,0.7450980392156863
52,0.7884615384615384,0.7884615384615384,0.75
53,0.7924528301886793,0.7924528301886793,0.7547169811320755
54,0.7962962962962963,0.7962962962962963,0.7592592592592593
55,0.8,0.8,0.7636363636363637
56,0.8035714285714286,0.8035714285714286,0.7678571428571429
57,0.8070175438596491,0.8070175438596491,0.7719298245614035
58,0.8103448275862069,0.8103448275862069,0.7758620689655172
59,0.8135593220338984,0.8135593220338984,0.7796610169491526
60,0.8166666666666667,0.8166666666666667,0.7833333333333333
61,0.819672131147541,0.819672131147541,0.7868852459016393
62,0.8225806451612904,0.8225806451612904,0.7903225806451613
63,0.8253968253968254,0.8253968253968254,0.7936507936507936
64,0.828125,0.828125,0.796875
65,0.8307692307692308,0.8307692307692308,0.8
66,0.8333333333333334,0.8333333333333334,0.803030303030303
67,0.835820895522388,0.835820895522388,0.8059701492537313
68,0.8382352941176471,0.8382352941176471,0.8088235294117647
69,0.8405797101449275,0.8405797101449275,0.8115942028985508
70,0.8428571428571429,0.8428571428571429,0.8142857142857143
71,0.8450704225352113,0.8450704225352113,0.8169014084507042
72,0.8472222222222222,0.8472222222222222,0.8194444444444444
73,0.8493150684931506,0.8493150684931506,0.821917808219178
74,0.8513513513513513,0.8513513513513513,0.8243243243243243
75,0.8533333333333334,0.8533333333333334,0.8266666666666667
76,0.8552631578947368,0.8552631578947368,0.8289473684210527
77,0.8571428571428571,0.8571428571428571,0.8311688311688312
